Date,Daily Revenue,Anomaly Type,Transaction Volume_x,Transaction Volume_y
2010-12-01,58635.56,Normal,3108,3108
2010-12-02,46207.28,Normal,2109,2109
2010-12-03,45620.46,Normal,2202,2202
2010-12-05,31383.95,Normal,2725,2725
2010-12-06,53860.18,Normal,3878,3878
2010-12-07,45059.049999999996,Normal,2963,2963
2010-12-08,44189.840000000004,Normal,2647,2647
2010-12-09,52532.13,Normal,2891,2891
2010-12-10,57404.91,Normal,2758,2758
2010-12-12,17240.920000000002,Normal,1451,1451
2010-12-13,35379.34,Normal,2283,2283
2010-12-14,42843.29,Normal,2087,2087
2010-12-15,29443.69,Normal,1349,1349
2010-12-16,48334.35,Normal,1790,1790
2010-12-17,43534.19,Normal,3115,3115
2010-12-19,7517.31,Normal,522,522
2010-12-20,24741.75,Normal,1763,1763
2010-12-21,47097.94,Normal,1586,1586
2010-12-22,6134.570000000001,Normal,291,291
2010-12-23,11796.31,Normal,963,963
2011-01-04,14950.48,Normal,1184,1184
2011-01-05,-1566.23,Normal,1743,1743
2011-01-06,37392.74,Normal,1832,1832
2011-01-07,27233.14,Normal,1794,1794
2011-01-09,15710.8,Normal,1117,1117
2011-01-10,24191.64,Normal,1976,1976
2011-01-11,67817.13,High Spike,1454,1454
2011-01-12,23958.78,Normal,1809,1809
2011-01-13,20533.54,Normal,1445,1445
2011-01-14,47377.26,Normal,1510,1510
2011-01-16,7116.61,Normal,646,646
2011-01-17,29256.0,Normal,2557,2557
2011-01-18,18680.799999999996,Normal,1447,1447
2011-01-19,25585.81,Normal,1416,1416
2011-01-20,17995.91,Normal,1502,1502
2011-01-21,31978.44,Normal,1594,1594
2011-01-23,10285.95,Normal,879,879
2011-01-24,25555.62,Normal,1485,1485
2011-01-25,27971.52,Normal,1654,1654
2011-01-26,19493.32,Normal,1289,1289
2011-01-27,21092.14,Normal,1575,1575
2011-01-28,18567.77,Normal,1008,1008
2011-01-30,6456.4400000000005,Normal,722,722
2011-01-31,22364.65,Normal,1509,1509
2011-02-01,28433.22,Normal,1574,1574
2011-02-02,21048.45,Normal,1411,1411
2011-02-03,23344.58,Normal,989,989
2011-02-04,24994.17,Normal,1232,1232
2011-02-06,3457.11,Normal,279,279
2011-02-07,25525.99,Normal,1261,1261
2011-02-08,20728.14,Normal,1228,1228
2011-02-09,16692.58,Normal,879,879
2011-02-10,13427.54,Normal,785,785
2011-02-11,20387.28,Normal,957,957
2011-02-13,5535.4,Normal,624,624
2011-02-14,26222.03,Normal,1108,1108
2011-02-15,36842.58,Normal,1335,1335
2011-02-16,24730.81,Normal,1191,1191
2011-02-17,26361.87,Normal,1719,1719
2011-02-18,15928.4,Normal,854,854
2011-02-20,9578.89,Normal,864,864
2011-02-21,23807.829999999998,Normal,1425,1425
2011-02-22,32292.62,Normal,1593,1593
2011-02-23,26792.76,Normal,1578,1578
2011-02-24,22655.83,Normal,1294,1294
2011-02-25,18029.84,Normal,978,978
2011-02-27,9491.05,Normal,812,812
2011-02-28,21753.68,Normal,1737,1737
2011-03-01,25471.71,Normal,1361,1361
2011-03-02,18296.45,Normal,935,935
2011-03-03,35842.62,Normal,1389,1389
2011-03-04,19474.87,Normal,1107,1107
2011-03-06,9596.23,Normal,844,844
2011-03-07,30525.58,Normal,1971,1971
2011-03-08,25017.47,Normal,1600,1600
2011-03-09,21907.12,Normal,1277,1277
2011-03-10,25597.89,Normal,1131,1131
2011-03-11,21995.28,Normal,959,959
2011-03-13,4137.62,Normal,537,537
2011-03-14,25864.59,Normal,1111,1111
2011-03-15,20660.03,Normal,1292,1292
2011-03-16,21182.64,Normal,874,874
2011-03-17,38804.25,Normal,2074,2074
2011-03-18,16770.460000000003,Normal,1379,1379
2011-03-20,21980.64,Normal,1453,1453
2011-03-21,16370.27,Normal,1068,1068
2011-03-22,31312.35,Normal,2384,2384
2011-03-23,24029.07,Normal,1319,1319
2011-03-24,36562.1,Normal,1577,1577
2011-03-25,30656.03,Normal,1386,1386
2011-03-27,8979.98,Normal,737,737
2011-03-28,19207.03,Normal,1672,1672
2011-03-29,70531.47,High Spike,1983,1983
2011-03-30,31489.25,Normal,1590,1590
2011-03-31,31004.08,Normal,1738,1738
2011-04-01,24391.78,Normal,1261,1261
2011-04-03,6878.1,Normal,731,731
2011-04-04,25073.02,Normal,1705,1705
2011-04-05,28353.829999999998,Normal,1215,1215
2011-04-06,17279.35,Normal,1122,1122
2011-04-07,18229.0,Normal,1527,1527
2011-04-08,23299.14,Normal,1441,1441
2011-04-10,9363.88,Normal,940,940
2011-04-11,22110.31,Normal,1259,1259
2011-04-12,25124.25,Normal,1152,1152
2011-04-13,23898.2,Normal,1052,1052
