"date","transaction_volume","revenue","failure_rate"
"2010-12-01","143","58635.56","1.15830115830115830100"
"2010-12-02","167","46207.28","2.18112849691797060200"
"2010-12-03","108","45620.46","2.13442325158946412400"
"2010-12-05","95","31383.95","0.62385321100917431200"
"2010-12-06","133","53860.18","1.59876224858174316700"
"2010-12-07","111","45059.05","3.40870739115761053000"
"2010-12-08","148","44189.84","3.09784661881375141700"
"2010-12-09","183","52532.13","4.01245243860255966800"
"2010-12-10","91","57404.91","2.79187817258883248700"
"2010-12-12","51","17240.92","0.82701585113714679500"
